time,deviceName,location,object_hAcc,object_sat
2023-01-05 17:13:02.113902625+00:00,A0013,43.250823::-7.3433075,11,10
2023-01-05 17:23:38.913531797+00:00,A0013,43.2508441::-7.3433198,18,9
2023-01-05 17:56:07.153979068+00:00,A0013,43.2516727::-7.3412574,9,8
2023-01-05 18:05:14.163988731+00:00,A0013,43.2524855::-7.3391412,5,7
2023-01-05 18:17:29.886395614+00:00,A0013,43.2511184::-7.3384433,4,7
2023-01-05 20:15:44.154154819+00:00,A0013,43.2509763::-7.3389543,234,3
2023-01-05 20:26:40.805763192+00:00,A0013,43.2510696::-7.3384731,88,4
2023-01-05 20:37:34.742281688+00:00,A0013,43.2508461::-7.3385131,35,4
2023-01-05 20:53:58.811635524+00:00,A0013,43.2513184::-7.3386251,5,5
2023-01-06 03:13:51.366562963+00:00,A0013,43.2512372::-7.3386362,12,4
2023-01-06 10:47:23.572350233+00:00,A0013,43.2509605::-7.3440585,8,7
2023-01-06 11:02:46.294004812+00:00,A0013,43.2510644::-7.3439755,3,7
2023-01-06 11:18:27.014721506+00:00,A0013,43.251111::-7.3438582,4,7
2023-01-06 11:33:57.435661778+00:00,A0013,43.2512816::-7.3439386,6,8
2023-01-06 11:49:07.412299619+00:00,A0013,43.2512133::-7.3436983,11,8
2023-01-06 12:04:28.540162956+00:00,A0013,43.2509335::-7.3439908,7,8
2023-01-06 12:20:06.299245064+00:00,A0013,43.2507405::-7.3439113,3,8
2023-01-06 12:35:15.736999542+00:00,A0013,43.2509394::-7.3437243,9,8
2023-01-06 12:50:35.940714048+00:00,A0013,43.2508784::-7.343728,8,8
2023-01-06 13:05:58.830727584+00:00,A0013,43.2510805::-7.3435873,5,8
2023-01-06 15:43:44.147505065+00:00,A0013,43.2508071::-7.3438104,19,6
2023-01-06 16:02:21.998765312+00:00,A0013,43.2511441::-7.3437624,9,8
2023-01-06 16:17:20.787606209+00:00,A0013,43.2508762::-7.3436297,9,8
2023-01-06 16:33:06.118980556+00:00,A0013,43.2507613::-7.3438066,3,11
2023-01-06 18:12:49.839317495+00:00,A0013,43.2518529::-7.3410599,6,9
2023-01-06 18:20:56.957904195+00:00,A0013,43.2522133::-7.338821,12,10
2023-01-06 18:29:00.067400774+00:00,A0013,43.2514269::-7.3383519,14,9
2023-01-06 18:37:12.017858180+00:00,A0013,43.2511594::-7.3385016,12,10
2023-01-06 20:26:56.918731456+00:00,A0013,43.2512472::-7.338374,19,5
2023-01-06 20:42:48.960659537+00:00,A0013,43.2512737::-7.3385233,5,6
2023-01-07 00:00:52.416946455+00:00,A0013,43.2512308::-7.3385931,112,3
2023-01-07 00:49:43.339474775+00:00,A0013,43.251249::-7.3385152,2,7
2023-01-07 11:02:20.355847428+00:00,A0013,43.2512641::-7.3385679,13,5
2023-01-07 11:12:07.085122896+00:00,A0013,43.2511484::-7.3386045,13,5
2023-01-07 11:21:39.945895653+00:00,A0013,43.2511977::-7.3385626,21,5
2023-01-07 11:32:04.814671310+00:00,A0013,43.2510367::-7.3384352,22,6
2023-01-07 13:08:30.824338133+00:00,A0013,43.2512742::-7.338554,8,6
2023-01-07 13:29:58.093690091+00:00,A0013,43.251339::-7.3384265,5,6
2023-01-07 14:27:36.130908485+00:00,A0013,43.2512325::-7.3383531,4,5
